SRA Accession,species,Data type
SRR10384646,Chlamydomonas reinhardtii,RNA-seq
SRR10384647,Chlamydomonas reinhardtii,RNA-seq
SRR10384648,Chlamydomonas reinhardtii,RNA-seq
SRR10384649,Chlamydomonas reinhardtii,RNA-seq
SRR10384650,Chlamydomonas reinhardtii,RNA-seq
SRR10384651,Chlamydomonas reinhardtii,RNA-seq
SRR10384652,Chlamydomonas reinhardtii,RNA-seq
SRR10384653,Chlamydomonas reinhardtii,RNA-seq
SRR10384654,Chlamydomonas reinhardtii,RNA-seq
SRR10384655,Chlamydomonas reinhardtii,RNA-seq
SRR10384656,Chlamydomonas reinhardtii,RNA-seq
SRR10384657,Chlamydomonas reinhardtii,RNA-seq
SRR10384658,Chlamydomonas reinhardtii,RNA-seq
SRR10384659,Chlamydomonas reinhardtii,RNA-seq
SRR10384660,Chlamydomonas reinhardtii,RNA-seq
SRR10384661,Chlamydomonas reinhardtii,RNA-seq
SRR10384662,Chlamydomonas reinhardtii,RNA-seq
SRR10384663,Chlamydomonas reinhardtii,RNA-seq
SRR10384664,Chlamydomonas reinhardtii,RNA-seq
SRR10384665,Chlamydomonas reinhardtii,RNA-seq
SRR10384666,Chlamydomonas reinhardtii,RNA-seq
SRR10384667,Chlamydomonas reinhardtii,RNA-seq
SRR10384668,Chlamydomonas reinhardtii,RNA-seq
SRR10384669,Chlamydomonas reinhardtii,RNA-seq
SRR10384670,Chlamydomonas reinhardtii,RNA-seq
SRR10384671,Chlamydomonas reinhardtii,RNA-seq
SRR10384672,Chlamydomonas reinhardtii,RNA-seq
SRR10384673,Chlamydomonas reinhardtii,RNA-seq
SRR10384674,Chlamydomonas reinhardtii,RNA-seq
SRR10589202,Chlamydomonas reinhardtii,RNA-seq
SRR10589203,Chlamydomonas reinhardtii,RNA-seq
SRR10589204,Chlamydomonas reinhardtii,RNA-seq
SRR10589205,Chlamydomonas reinhardtii,RNA-seq
SRR10589206,Chlamydomonas reinhardtii,RNA-seq
SRR10589207,Chlamydomonas reinhardtii,RNA-seq
SRR10737771,Chlamydomonas reinhardtii,RNA-seq
SRR10737772,Chlamydomonas reinhardtii,RNA-seq
SRR10737773,Chlamydomonas reinhardtii,RNA-seq
SRR10737774,Chlamydomonas reinhardtii,RNA-seq
SRR10737775,Chlamydomonas reinhardtii,RNA-seq
SRR10737776,Chlamydomonas reinhardtii,RNA-seq
SRR10737777,Chlamydomonas reinhardtii,RNA-seq
SRR10737778,Chlamydomonas reinhardtii,RNA-seq
SRR10737779,Chlamydomonas reinhardtii,RNA-seq
SRR10737780,Chlamydomonas reinhardtii,RNA-seq
SRR10737781,Chlamydomonas reinhardtii,RNA-seq
SRR10737782,Chlamydomonas reinhardtii,RNA-seq
SRR11650162,Chlamydomonas reinhardtii,RNA-seq
SRR11650163,Chlamydomonas reinhardtii,RNA-seq
SRR11650164,Chlamydomonas reinhardtii,RNA-seq
SRR11650165,Chlamydomonas reinhardtii,RNA-seq
SRR1170739,Chlamydomonas reinhardtii,RNA-seq
SRR1170741,Chlamydomonas reinhardtii,RNA-seq
SRR1170743,Chlamydomonas reinhardtii,RNA-seq
SRR1179642,Chlamydomonas reinhardtii,RNA-seq
SRR1179643,Chlamydomonas reinhardtii,RNA-seq
SRR11829722,Chlamydomonas reinhardtii,RNA-seq
SRR11829723,Chlamydomonas reinhardtii,RNA-seq
SRR11829724,Chlamydomonas reinhardtii,RNA-seq
SRR1213141,Chlamydomonas reinhardtii,RNA-seq
